,사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,장소일치여부
18,서구,2024-04-30,내당동12-37,치즈태비백,3.3,코숏,1살,수컷,양호, ,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,	내당동12-37,-,True
19,동구,2024-04-30,대구시 동구 방촌로 11길 26,흰색/검은색,3.46,코숏,1살,수컷,양호,상태 양호,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,-,False
20,서구,2024-04-30,내당동12-37,치즈태비백,3.0,코숏,1살,수컷,양호, ,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,	내당동12-37,-,True
21,수성구,2024-04-30,용학로 42길 13,흰 + 검 + 갈,3.2,코숏,2살,수컷,양호,.,방사,2024-04-30,멘토동물병원,2024-05-01,용학로 42길 13,-,False
22,동구,2024-04-30,대구광역시 동구 국채보상로 159길 38,흰 검,3.3,코숏,1살,암컷,양호,젖소,방사,2024-04-30,동대구동물의료센터,2024-05-03,대구광역시 동구 국채보상로159길 38,-,True
23,서구,2024-04-30,평리로35길62,치즈태비,3.7,한국고양이,3살,암컷,양호,온순함,방사,2024-04-30,대구시수의사회(삼성),2024-05-03,평리로35길62,-,False
24,수성구,2024-04-30,무학로 35길 114,흰 + 검,3.9,코숏,2살,암컷,양호,.,방사,2024-04-30,멘토동물병원,2024-05-03,무학로 35길 114,-,False
25,달서구,2024-04-30,대구시 달서구 대명천로 59,검정 흰색,3.5,코숏,3살,수컷,양호,등부분 검은색 발 배 흰색,방사,2024-04-30,두류동물병원,2024-05-01,대구시 달서구 대명천로 59,-,False
26,북구,2024-04-30,대구시 북구 서변로 109,흰색,3.6,믹스,2살,수컷,양호,없음,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,-,False
27,북구,2024-04-30,대구시 북구 서변로,검정,3.5,믹스,2살,수컷,양호,없음,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,-,True
28,달성군,2024-04-30,대구광역시 달성군 화원읍 사문진로 340 ,흰갈,4.1,코숏,1살,수컷,양호,양호,방사,2024-04-30,화원연합동물병원,2024-05-01,화원읍 사문진로 340,-,True
29,동구,2024-04-30,대구시 동구 방촌로 11길 26,검은색,3.58,코숏,1살,수컷,양호,상태 양호,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,-,False
30,달서구,2024-04-29,대구시 달서구 성당로 39길 49-1,노란 검정 ,4.1,코숏,3살,암컷,양호,노란 검정 얼룩무늬,방사,2024-04-29,두류동물병원,2024-05-02,달서구 성당로 39길 49-1,-,True
31,북구,2024-04-29,대구시 북구 산격로 1길 18,고등어색,5.3,믹스,3살,수컷,양호,없음,방사,2024-04-29,가나동물병원,2024-04-30,대구시 북구 산격로 1길 18,-,False
32,달서구,2024-04-29,대구광역시 달서구 상인서로 94,노란줄무늬 &흰색,5.18,코숏,2살,수컷,양호,없음,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,-,False
33,달서구,2024-04-29,대구광역시 달서구 상인서로 94,검정색&흰색,4.38,코숏,2살,수컷,양호,없음,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,-,False
34,달서구,2024-04-29,대구시 달서구 장기로 88-25,검은색 흰색 노란색,2.36,코숏,3살,암컷,양호, 검은색 노란색 줄무늬 발 흰색,방사,2024-04-29,두류동물병원,2024-05-02,대구시 달서구 장기로 88-25,-,False
35,달서구,2024-04-29,대구광역시 달서구 문화회관11안길 12 (장동),검은색 갈색 흰색,3.7,코숏,1살,암컷,양호,없음,방사,2024-04-29,본리종합동물병원,2024-05-02,대구광역시 달서구 문화회관11안길 12 (장동),-,False
36,수성구,2024-04-29,들안로 48길 43,치즈,3.96,코숏,7살,수컷,양호,양호,방사,2024-04-29,신세계동물병원,2024-04-30,들안로 48길 43,-,False
37,수성구,2024-04-29,수성구 범안로 77,흰 + 검 + 갈,4.32,코숏,3살,수컷,양호,.,방사,2024-04-29,멘토동물병원,2024-04-30,범안로 77,-,True
38,달성군,2024-04-29,다사읍 매곡로 7,백갈,4.0,한국고양이,1살,수컷,양호,.,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,-,False
39,달성군,2024-04-29,다사읍 매곡로 7,백흑,4.0,한국고양이,2살,수컷,양호,.,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,-,False
40,수성구,2024-04-29,무학로35길114,검갈.흰색,4.3,코숏,5살,수컷,양호,-,방사,2024-04-29,제니스동물병원,2024-04-30,무학로35길114,-,False
41,수성구,2024-04-29,동대구로14길9-12,고등어태비,5.2,코숏,5살,수컷,양호,-,방사,2024-04-29,제니스동물병원,2024-04-30,동대구로14길9-12,-,False
42,서구,2024-04-29,내당동 463-7,흰색+검회갈색,2.76,한국고양이,1살,암컷,양호,고등어. 약한 자궁.,방사,2024-04-29,대구수의사회(아이펫),2024-05-02,내당동 463-7,-,False
43,수성구,2024-04-29,무학로37안길28-19,고등어태비,3.3,코숏,3살,암컷,양호,-,방사,2024-04-29,제니스동물병원,2024-05-02,무학로37안길28-19,-,False
44,수성구,2024-04-29,동대구로14길9-12,고등어태비,3.0,코숏,2살,암컷,양호,-,방사,2024-04-29,제니스동물병원,2024-05-02,동대구로14길9-12,-,False
45,달성군,2024-04-29,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),흰갈,4.7,코숏,1살,수컷,양호,양호,방사,2024-04-29,화원연합동물병원,2024-04-30,화원명곡미래빌 4단지 ,-,True
46,달성군,2024-04-29,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),흰검,3.4,코숏,1살,수컷,양호,양호,방사,2024-04-29,화원연합동물병원,2024-04-30,화원명곡미래빌 4단지 ,-,True
47,북구,2024-04-27,북구 학정로 106,삼색,3.1,코숏,1살,암컷,양호,2주항생제투여,방사,2024-04-27,강동물병원,2024-04-30,북구 학정로 106,-,False
48,수성구,2024-04-27,동대구로 14길 9-12,카오스,2.78,코숏,4살,암컷,양호,양호,방사,2024-04-27,신세계동물병원,2024-04-30,동대구로 14길 9-12,-,False
49,달서구,2024-04-27,대구광역시 달서구 문화회관11안길 12 (장동),검은색 흰색,3.8,코숏,2살,수컷,양호,없음,방사,2024-04-27,본리종합동물병원,2024-04-29,대구광역시 달서구 문화회관11안길 12 (장동),-,False
50,수성구,2024-04-27,무학로 35길 114,흰색,4.38,코숏,3살,수컷,양호,사나움,방사,2024-04-27,신세계동물병원,2024-04-29,무학로 35길 114,-,False
51,달서구,2024-04-27,상화로 371,치즈,3.41,코숏,1살,암컷,양호,이마에 상처,방사,2024-04-27,수목원동물병원,2024-04-30,상화로 371,-,False
52,동구,2024-04-27,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),노랑,4.0,코숏,1살,수컷,양호,얼굴상처,방사,2024-04-27,동대구동물의료센터,2024-04-29,대구광역시 동구 팔공로 274,-,True
53,수성구,2024-04-27,국채보상로186길145,검정.휜색,3.3,코숏,3살,암컷,양호,-,방사,2024-04-27,제니스동물병원,2024-04-30,국채보상로186길145,-,False
54,수성구,2024-04-27,동대구로52길55,삼색,3.5,코숏,5살,암컷,양호,-,방사,2024-04-27,제니스동물병원,2024-04-30,동대구로52길55,-,False
55,서구,2024-04-27,달서천로76길10-1,치즈태비,4.8,코숏,2살,수컷,양호, ,방사,2024-04-27,대구시수의사회(더펫),2024-04-29,달서천로76길10-1,-,False
56,수성구,2024-04-27,들안로48길 43,고등어,4.36,코숏,3살,암컷,양호,.,방사,2024-04-27,허동물병원,2024-04-30,들안로48길 43,-,False
57,수성구,2024-04-27,들안로48길 43,치즈,2.72,코숏,2살,암컷,양호,.,방사,2024-04-27,허동물병원,2024-04-30,들안로48길 43,-,False
58,달서구,2024-04-26,달서구 진천로 16길 85,검정색 흰색 갈색,2.1,코숏,1살,암컷,양호,없음,방사,2024-04-27,애플동물병원,2024-04-30,달서구 진천로 16길 85,-,False
59,달서구,2024-04-26,대구광역시 달서구 성서공단북로60길 6 (갈산동),노랑,4.5,코숏,2살,수컷,양호,없음,방사,2024-04-26,온누리동물병원,2024-04-27,달서구 성서공단북로60길6,-,True
60,남구,2024-04-26,대구 남구 명덕로 98-1,갈색검정색회색,3.36,코숏,1살,수컷,양호,무,방사,2024-04-26,독사랑동물병원,2024-04-27,대구 남구 명덕로 98-1,-,False
61,달성군,2024-04-26,다사읍 문양역5길 41,흑백,5.0,한국고양이,2살,암컷,양호,.,방사,2024-04-26,119동물병원,2024-04-29,다사읍 문양역5길 41,-,False
62,동구,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),흰갈검,2.0,코숏,1살,암컷,양호,카오스,방사,2024-04-26,동대구동물의료센터,2024-04-29,대구광역시 동구 팔공로 274,-,True
63,중구,2024-04-26,남문시장,금색,4.13,한국고양이,2살,수컷,양호,없슴,방사,2024-04-26,대구시수의사회(동산),2024-04-30,남문시장,-,False
64,수성구,2024-04-26,수성구 동대구로 52길 55,고등어,3.8,코숏,3살,암컷,양호,.,방사,2024-04-26,허동물병원,2024-04-29,수성구 동대구로 52길 55,-,False
65,북구,2024-04-26,북구 칠성시장로7길33,흰색+노랑,5.5,코숏,3살,수컷,치료요함,앞발상처,방사,2024-04-26,북부동물병원,2024-04-27,북구칠성시장로7길33,-,True
66,중구,2024-04-26,남문시장,삼색,4.0,한국고양이,2살,암컷,양호,없슴,방사,2024-04-26,대구시수의사회(동산),2024-04-30,남문시장,-,False
67,동구,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),노희,4.2,코숏,1살,수컷,양호,치즈,방사,2024-04-26,동대구동물의료센터,2024-04-27,대구광역시 동구 팔공로 274,-,True
68,중구,2024-04-26,남문시장,금색,4.2,한국고양이,4살,수컷,양호,없슴,방사,2024-04-26,대구시수의사회(동산),2024-04-30,남문시장,-,False
