,종류,공고번호,발견장소,특징,성별,상태
5464,대구-달서-2024-00230,대구시 달서구 송현..,없음,수컷,방사,"코숏|흰색,검정색"
5468,경남-밀양-2024-00395,단장면 법사길 26..,없음,수컷,방사,한국고양이|갈색
5472,충북-영동-2024-00047,충북 영동군 황간면..,사나움,암컷,방사,한국산|black&white
5476,충북-영동-2024-00048,충북 영동군 황간면..,사나움,수컷,방사,한국산|혼합색
5480,충남-천안-2024-00714,원거리5길 19,없음,암컷,방사,코숏|치즈
5484,충북-청주-2024-01113,옥산면 소로리 14..,없음,수컷,방사,코숏|검정 갈색 흰색
5488,경기-의정부-2024-00305,서부로 롯데캐슬 주..,컨베니아,암컷,방사,ksh|삼색
5492,전북-전주-2024-01072,심방죽4길 9-4,"종합백신,광견병백신..",암컷,방사,"KSH|갈색,흰색"
5496,대구-동구-2024-00137,대구시 동구 옻골로..,상태 양호,수컷,방사,믹스|회백색 태비
5500,전북-익산-2024-00692,왕궁면 왕궁로493..,없음,수컷,방사,코쇼|노랑
5504,대구-동구-2024-00138,대구시 동구 옻골로..,상태 양호,수컷,방사,코리안 숏헤어|회갈색 태비
5508,충북-제천-2024-00130,의병대로34길20 ..,4101600 10..,수컷,방사,한국고양이|검정 흰색
5512,전북-익산-2024-00690,왕궁면 왕궁로493..,없음,암컷,방사,코쇼|회색
5516,전북-익산-2024-00695,왕궁면 왕궁로362..,없음,수컷,방사,코쇼|검정/흰
5520,전북-익산-2024-00691,왕궁면 왕궁로493..,없음,수컷,방사,코쇼|검정/흰
5524,충북-제천-2024-00132,적성로8길51,4101600 10..,수컷,방사,한국고양이|갈색 흰색
5528,전북-전주-2024-01078,하거마3길 18,종합/광견병백신,수컷,방사,KSH|흰/노랑색
5532,경남-통영-2024-00236,경상남도 통영시 용..,회색테비,수컷,방사,코리안숏헤어|회색테비
5536,경기-시흥-2024-00348,대야동194-19,약간순함,수컷,방사,코숏|흰+고등어
5540,경남-통영-2024-00231,더 팰리스 1차,없음,암컷,방사,코숏|치즈태비
5544,충남-아산-2024-01001,충청남도 아산시 음..,없음,수컷,방사,코리안숏헤어|갈색+흰색
5548,충남-아산-2024-00999,충청남도 아산시 음..,없음,수컷,방사,코리안숏헤어|검정+갈색
5552,경남-통영-2024-00237,경상남도 통영시 용..,회색테비,수컷,방사,코리안숏헤어|회색테비
5556,경남-통영-2024-00246,경상남도 통영시 용..,삼색,암컷,방사,코리안숏헤어|삼색
5560,충북-진천-2024-00151,이월면 내촌리 14..,특이사항없음,수컷,방사,한국고양이|치즈
