,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
639,달성군,2024-03-25,하빈면 하빈로171길 62,4.0,수컷,방사,2024-03-25,119동물병원,2024-03-26,하빈면 하빈로171길 62,True
640,달성군,2024-03-25,하빈면 하빈로171길 62,4.0,수컷,방사,2024-03-25,119동물병원,2024-03-26,하빈면 하빈로171길 62,True
641,달성군,2024-03-25,대구광역시 달성군 화원읍 설화안길 25-2 ,4.0,수컷,방사,2024-03-25,화원연합동물병원,2024-03-26,화원읍 설화안길 25-2,True
642,군위군,2024-03-25,소보면 도산리,2.5,수컷,방사,2024-03-25,군위종합동물병원,2024-03-26,소보면 달산리,False
643,달서구,2024-03-23,달서구 선원로15안길20,4.0,암컷,방사,2024-03-23,온누리동물병원,2024-03-26,대구광역시 달서구 선원로15안길 20 (신당동),True
644,남구,2024-03-23,대구광역시 남구 대경길 67-5 (대명동),3.96,암컷,방사,2024-03-23,독사랑동물병원,2024-03-26,대구 남구 대경길 67-5,True
645,수성구,2024-03-23,달구벌대로659길61-19,2.9,암컷,방사,2024-03-23,펫동물병원,2024-03-26,달구벌대로659길61-19,True
646,수성구,2024-03-23,달구벌대로659길61-19,4.6,수컷,방사,2024-03-23,펫동물병원,2024-03-25,달구벌대로659길61-19,True
647,수성구,2024-03-23,달구벌대로669길70,4.3,수컷,방사,2024-03-23,펫동물병원,2024-03-25,달구벌대로669길70,True
648,북구,2024-03-23,북구 대현로21길6,3.6,암컷,방사,2024-03-23,북부동물병원,2024-03-26,북구 대현로21길6,True
649,수성구,2024-03-23,청호로 438,3.6,수컷,방사,2024-03-23,세인트동물병원,2024-03-25,청호로 438,True
650,수성구,2024-03-23,수성구지산동379-1,2.2,수컷,방사,2024-03-23,금강동물병원,2024-03-25,지산동379-1,True
651,군위군,2024-03-23,의흥면 파전리,2.8,수컷,방사,2024-03-23,군위종합동물병원,2024-03-24,의흥면 파전리,True
652,군위군,2024-03-23,의흥면 파전리,2.8,암컷,방사,2024-03-23,군위종합동물병원,2024-03-26,의흥면 파전리,True
653,달성군,2024-03-22,하빈면 현내리 539-1,4.0,수컷,방사,2024-03-22,119동물병원,2024-03-24,하빈면 현내리 539-1,True
654,달성군,2024-03-22,교항6길8,2.3,수컷,방사,2024-03-22,동행동물병원,2024-03-23,교항6길8,True
655,달성군,2024-03-22,비슬로264길46-11,3.8,수컷,방사,2024-03-22,동행동물병원,2024-03-23,비슬로264길46-11,True
656,달성군,2024-03-22,교항6길8,2.5,수컷,방사,2024-03-22,동행동물병원,2024-03-23,교항6길8,True
657,서구,2024-03-22,이현동 530-1,4.4,암컷,방사,2024-03-22,대구시수의사회(평리),2024-03-25,이현동 530-1,True
658,달성군,2024-03-22,하빈면 현내리 539-1,5.0,암컷,방사,2024-03-22,119동물병원,2024-03-25,하빈면 현내리 539-1,True
659,남구,2024-03-22,대구광역시 남구 대경길 67-5 (대명동),4.5,수컷,방사,2024-03-22,독사랑동물병원,2024-03-23,대구 남구 대경길 67-5,True
660,남구,2024-03-22,대구 남구 자유1길 59,4.75,수컷,방사,2024-03-22,독사랑동물병원,2024-03-23,대구 남구 자유1길 59,True
661,달서구,2024-03-22,대구광역시 달서구 선원로15안길 20 (신당동),2.7,암컷,방사,2024-03-22,온누리동물병원,2024-03-25,달서구 선원로15안길20,True
662,달서구,2024-03-22,달서구 선원로15안길20,4.1,암컷,방사,2024-03-22,온누리동물병원,2024-03-25,달서구 선원로15안길20,True
663,달서구,2024-03-22,대구광역시 달서구 문화회관11안길 12 (장동),4.5,수컷,방사,2024-03-22,본리종합동물병원,2024-03-23,대구광역시 달서구 문화회관11안길 12 (장동),True
664,달성군,2024-03-22,하빈면 하빈로171길 62,4.0,수컷,방사,2024-03-22,119동물병원,2024-03-23,하빈면 하빈로171길 62,True
665,달성군,2024-03-22,하빈면 하빈로171길 62,5.0,수컷,방사,2024-03-22,119동물병원,2024-03-23,하빈면 하빈로171길 62,True
666,달서구,2024-03-22,대구광역시 달서구 장산로 63-43 (장기동),3.3,수컷,방사,2024-03-22,본리종합동물병원,2024-03-23,대구광역시 달서구 장산로 63-43 (장기동),True
667,수성구,2024-03-22,월드컵로5안길1,3.8,암컷,방사,2024-03-22,펫동물병원,2024-03-25,월드컵로5안길1,True
668,수성구,2024-03-22,월드컵로5안길1,3.3,암컷,방사,2024-03-22,펫동물병원,2024-03-25,월드컵로5안길1,True
669,수성구,2024-03-22,달구벌대로659길61-19,3.6,암컷,방사,2024-03-22,펫동물병원,2024-03-25,달구벌대로659길61-19,True
670,서구,2024-03-22,중리동1017-2,3.7,암컷,방사,2024-03-22,대구시수의사회(더펫),2024-03-25,중리동1017-2,True
671,수성구,2024-03-22,대구광역시 수성구 달구벌대로659길 61-19 (사월동),3.8,수컷,방사,2024-03-22,펫동물병원,2024-03-23,달구벌대로659길61-19,True
672,수성구,2024-03-22,수성구 동대구로 52길 55,3.3,수컷,방사,2024-03-22,허동물병원,2024-03-23,수성구 동대구로 52길 55,True
673,수성구,2024-03-22,수성구 동대구로 52길 55,4.3,수컷,방사,2024-03-22,허동물병원,2024-03-23,수성구 동대구로 52길 55,True
674,군위군,2024-03-22,군위읍 동부리,2.8,암컷,방사,2024-03-22,군위종합동물병원,2024-03-25,군위읍 동부리,True
675,수성구,2024-03-22,수성구 동대구로 52길 55,4.32,수컷,방사,2024-03-22,허동물병원,2024-03-23,수성구 동대구로 52길 55,True
676,군위군,2024-03-22,군위읍 용대리,2.6,암컷,방사,2024-03-22,군위종합동물병원,2024-03-25,군위읍 용대리,True
677,달서구,2024-03-21,대구광역시 달서구 장산로 63-43 (장기동),5.4,수컷,방사,2024-03-21,본리종합동물병원,2024-03-22, 대구광역시 달서구 장산로 63-43 (장기동),True
678,달서구,2024-03-21,달서구 진천로 16길 85,2.26,수컷,방사,2024-03-21,애플동물병원,2024-03-22,달서구 진천로 16길 85,True
679,달성군,2024-03-21,비슬로264길46-11,4.0,수컷,방사,2024-03-21,동행동물병원,2024-03-22,비슬로264길46-11,True
680,달성군,2024-03-21,비슬로264길46-11,3.8,수컷,방사,2024-03-21,동행동물병원,2024-03-22,비슬로264길46-11,True
681,중구,2024-03-21,건들바위 네거리,3.45,암컷,방사,2024-03-22,대구시수의사회(동산),2024-03-26,건들바위 네거리,True
682,중구,2024-03-21,건들바위 네거리,3.8,암컷,방사,2024-03-22,대구시수의사회(동산),2024-03-26,건들바위 네거리,True
683,달성군,2024-03-21,다사읍 세천남로 35,5.0,수컷,방사,2024-03-21,119동물병원,2024-03-22,다사읍 세천남로 35,True
684,달서구,2024-03-21,대구광역시 달서구 선원로15안길 20 (신당동),5.6,수컷,방사,2024-03-21,온누리동물병원,2024-03-22,대구광역시 달서구 선원로15안길 20 (신당동),True
685,남구,2024-03-21,대구 남구 대경길 67-5,4.43,암컷,방사,2024-03-21,독사랑동물병원,2024-03-25,대구 남구 대경길 67-5,True
686,달서구,2024-03-21,대구시 달서구 구마로 237 .  1층,4.25,수컷,방사,2024-03-21,세림종합동물병원,2024-03-22,대구시 달서구 구마로237 1층,True
687,수성구,2024-03-21,수성구 동대구로 52길 55,3.0,암컷,방사,2024-03-21,허동물병원,2024-03-25,수성구 동대구로 52길 55,True
688,남구,2024-03-21,대구 남구 대경길 67-5,3.25,수컷,방사,2024-03-21,독사랑동물병원,2024-03-22,대구 남구 대경길 67-5,True
689,달서구,2024-03-21,대구광역시 달서구 선원로15안길 20 (신당동),4.5,수컷,방사,2024-03-21,온누리동물병원,2024-03-22,대구광역시 달서구 선원로15안길 20 (신당동),True
690,서구,2024-03-21,서구 중리동 1017-2일대,5.0,수컷,방사,2024-03-21,대구시수의사회(보경),2024-03-22,서구 중리동 1017-2일대,True
691,달성군,2024-03-21,테크노남로 142,4.0,수컷,방사,2024-03-21,현풍동물병원,2024-03-22,테크노남로 142,True
692,달성군,2024-03-21,테크노남로 142 ,2.5,암컷,방사,2024-03-21,현풍동물병원,2024-03-24,테크노남로 142,True
693,동구,2024-03-21,대구광역시 동구 국채보상로159길 38 (신천동),4.4,수컷,방사,2024-03-21,동대구동물의료센터,2024-03-22,대구광역시 동구 국채보상로159길 38,True
694,수성구,2024-03-21,달구벌대로617길7,3.1,수컷,방사,2024-03-22,펫동물병원,2024-03-23,달구벌대로617길7,True
695,서구,2024-03-21,이현동 530-1,3.4,수컷,방사,2024-03-21,대구시수의사회(평리),2024-03-22,이현동 530-1,True
696,중구,2024-03-21,대구광역시 중구 명륜로23길 39,3.48,암컷,방사,2024-03-21,대구시수의사회(삼덕),2024-03-24,대구광역시 중구 명륜로23길 39 (남산동),True
697,달성군,2024-03-21,대구광역시 달성군 옥포읍 비슬로 1941 (대구옥포LH허브시티),3.3,암컷,방사,2024-03-21,화원연합동물병원,2024-03-24,옥포읍 허브시티 ,True
698,군위군,2024-03-21,의흥면 동부리,3.2,수컷,방사,2024-03-21,군위종합동물병원,2024-03-22,의흥면 동부리,True
699,달성군,2024-03-20,설화안길25-2,4.0,수컷,방사,2024-03-20,동행동물병원,2024-03-21,설화안길25-2,True
700,달서구,2024-03-20,대구광역시 달서구 대명천로38길 25 (본리동),4.0,암컷,방사,2024-03-20,본리종합동물병원,2024-03-23,대구광역시 달서구 대명천로38길 25 (본리동),True
701,달성군,2024-03-20,설화안길25-2,4.5,암컷,방사,2024-03-20,동행동물병원,2024-03-23,설화안길25-2,True
702,북구,2024-03-20,북구 대현로21길6,2.7,암컷,방사,2024-03-20,북부동물병원,2024-03-23,북구 대현로21길6,True
703,서구,2024-03-20,비산동3-185,3.6,암컷,방사,2024-03-20,대구시수의사회(더펫),2024-03-23,비산동3-185,True
704,서구,2024-03-20,비산동3-185,4.5,수컷,방사,2024-03-20,대구시수의사회(더펫),2024-03-21,비산동3-185,True
705,동구,2024-03-20,대구광역시 동구 팔공로37길 23-8,3.6,수컷,방사,2024-03-20,동대구동물의료센터,2024-03-21,대구광역시 동구 팔공로37길 23-8,True
706,동구,2024-03-20,대구광역시 동구 팔공로37길 23-8,4.1,수컷,방사,2024-03-20,동대구동물의료센터,2024-03-21,대구광역시 동구 팔공로37길 23-8,True
707,동구,2024-03-20,대구광역시 동구 팔공로37길 23-8,4.8,수컷,방사,2024-03-20,동대구동물의료센터,2024-03-21,대구광역시 동구 팔공로 37길 23-8,True
708,서구,2024-03-20,평리로350-1,2.67,암컷,방사,2024-03-20,대구시수의사회(삼성),2024-03-23,평리로350-1,True
709,달서구,2024-03-20,대구시 달서구 구마로 221-1,4.3,수컷,방사,2024-03-20,두류동물병원,2024-03-21,달서구 구마로 221-1,True
710,서구,2024-03-20,평리동1185-6,2.79,암컷,방사,2024-03-20,대구시수의사회(삼성),2024-03-23,평리동1185-16,True
711,동구,2024-03-20,대구광역시 동구 옻골로 59 (부동),4.42,수컷,방사,2024-03-20,율하동물병원,2024-03-21,대구광역시 동구 옻골로 59 (부동),True
712,달서구,2024-03-20,달서구 진천로 16길 85,2.52,수컷,방사,2024-03-20,애플동물병원,2024-03-21,달서구 진천로 16길 85,True
713,달성군,2024-03-20,다사읍 달구벌대로 895,5.0,암컷,방사,2024-03-20,119동물병원,2024-03-23,다사읍 달구벌대로 895,True
714,수성구,2024-03-20,들안로 48길 43,3.16,암컷,방사,2024-03-20,신세계동물병원,2024-03-23,들안로 48길 43,True
715,수성구,2024-03-20,들안로 48길 43,2.78,수컷,방사,2024-03-20,신세계동물병원,2024-03-21,들안로 48길 43,True
716,동구,2024-03-20,대구광역시 동구 국채보상로 159길 38,2.7,암컷,방사,2024-03-20,동대구동물의료센터,2024-03-23,대구광역시 동구 국채보상로159길 38,True
717,남구,2024-03-20,대구  남구 용두길 89-10,4.1,암컷,방사,2024-03-16,독사랑동물병원,2024-03-19,대구 남구 용두길 89-10,True
718,북구,2024-03-20,관음동로 9길 21-6,3.2,수컷,방사,2024-03-20,강동물병원,2024-03-21,관음동로 9길 21-6,True
719,북구,2024-03-20,관음동로9길21-6,2.1,암컷,방사,2024-03-20,강동물병원,2024-03-23,관음동로 9길 21-6,True
720,달성군,2024-03-20,다사읍 달구벌대로 893,4.0,수컷,방사,2024-03-20,119동물병원,2024-03-22,다사읍 달구벌대로 893,True
721,남구,2024-03-20,대구 남구 대경길 67-5,4.85,암컷,방사,2024-03-20,독사랑동물병원,2024-03-23,대구 남구 대경길 67-5,True
722,달성군,2024-03-20,설화안길25-2,3.8,암컷,방사,2024-03-20,동행동물병원,2024-03-23,설화안길25-2,True
723,달서구,2024-03-20,대구광역시 달서구 문화회관11안길 12 (장동),2.0,암컷,방사,2024-03-20,본리종합동물병원,2024-03-23,대구광역시 달서구 문화회관11안길 12 (장동),True
724,서구,2024-03-20,서대구로5길34-1,2.7,암컷,방사,2024-03-20,대구시수의사회(더펫),2024-03-23,서대구로5길34-1,True
725,수성구,2024-03-20,달구벌대로621길 7,4.1,수컷,방사,2024-03-20,펫동물병원,2024-03-21,달구벌대로621길7,True
726,중구,2024-03-20,남산로6길 72,4.1,수컷,방사,2024-03-20,대구시수의사회(동인),2024-03-22,남산로6길 72,True
727,달서구,2024-03-20,대구시 달서구 장기로 17길18,3.85,수컷,방사,2024-03-20,세림종합동물병원,2024-03-21,대구시 달서구 장기로17길 18,True
728,수성구,2024-03-20,월드컵로5안길1,5.0,수컷,방사,2024-03-20,펫동물병원,2024-03-21,월드컵로5안길1,True
729,서구,2024-03-20,평리로50길 36,3.7,암컷,방사,2024-03-20,대구수의사회(아이펫),2024-03-23,평리로50길 36,True
730,북구,2024-03-20,대구시 북구 연경중앙로 55,2.6,암컷,방사,2024-03-20,가나동물병원,2024-03-23,대구시 북구 연경중앙로 55,True
731,수성구,2024-03-20,월드컵로5안길1,4.6,수컷,방사,2024-03-20,펫동물병원,2024-03-21,월드컵로5안길1,True
732,군위군,2024-03-20,군위읍 하곡리,3.2,수컷,방사,2024-03-20,군위종합동물병원,2024-03-21,군위읍 하곡리,True
733,중구,2024-03-20,건들바위 네거리,3.88,암컷,방사,2024-03-20,대구시수의사회(동산),2024-03-23,건들바위 네거리,True
734,서구,2024-03-20,이현동 530-1,3.1,암컷,방사,2024-03-20,대구시수의사회(평리),2024-03-23,이현동 530-1,True
735,중구,2024-03-20,건들바위 네거리,3.43,수컷,방사,2024-03-20,대구시수의사회(동산),2024-03-21,건들바위 네거리,True
736,서구,2024-03-20,이현동 530-1,5.7,수컷,방사,2024-03-20,대구시수의사회(평리),2024-03-21,이현동 530-1,True
737,달성군,2024-03-20,다사읍 대실역북로2길 91,5.0,암컷,방사,2024-03-20,119동물병원,2024-03-25,다사읍 대실역북로2길 91,True
738,달성군,2024-03-19,논공로437,5.0,수컷,방사,2024-03-19,동행동물병원,2024-03-20,논공로437,True
739,달서구,2024-03-19,대구광역시 달서구 문화회관11안길 12 (장동),2.0,암컷,방사,2024-03-19,본리종합동물병원,2024-03-22,대구광역시 달서구 문화회관11안길 12 (장동),True
740,서구,2024-03-19,서구 평리동 1116-26일대,3.7,암컷,방사,2024-03-19,대구시수의사회(보경),2024-03-22,서구 평리동 1116-26일대,True
741,동구,2024-03-19,대구광역시 동구 옻골로 59 (부동),3.02,암컷,방사,2024-03-19,율하동물병원,2024-03-22,대구광역시 동구 옻골로 59 (부동),True
742,수성구,2024-03-19,수성구지산동379-1,3.1,암컷,방사,2024-03-19,금강동물병원,2024-03-22,지산동379-1,True
743,수성구,2024-03-19,수성구지산동379-1,2.7,암컷,방사,2024-03-19,금강동물병원,2024-03-22,지산동379-1,True
744,달성군,2024-03-19,법화길61-4,4.2,수컷,방사,2024-03-19,동행동물병원,2024-03-20,법화길 61-4,True
745,수성구,2024-03-19,수성구지산동379-1,3.1,암컷,방사,2024-03-19,금강동물병원,2024-03-22,지산동379-1,True
746,수성구,2024-03-19,수성구지산동379-1,4.4,수컷,방사,2024-03-19,금강동물병원,2024-03-20,지산동379-1,True
747,수성구,2024-03-19,시지로21,4.6,수컷,방사,2024-03-19,펫동물병원,2024-03-20,시지로21,True
748,수성구,2024-03-19,시지로21,4.3,수컷,방사,2024-03-19,펫동물병원,2024-03-20,시지로21,True
749,달성군,2024-03-19,원교길 6 ,3.0,수컷,방사,2024-03-19,현풍동물병원,2024-03-20,원교길 6 ,True
750,북구,2024-03-19,대구시 북구 화담길 197,2.7,암컷,방사,2024-03-19,가나동물병원,2024-03-22,대구시 북구 화담길,True
751,서구,2024-03-19,중리동1017-2,4.6,수컷,방사,2024-03-19,대구시수의사회(더펫),2024-03-20,중리동1017-2,True
752,수성구,2024-03-19,고모로188,3.0,수컷,방사,2024-03-19,펫동물병원,2024-03-20,고모로188,True
753,달성군,2024-03-19,과학마을로2길 33-8,3.0,암컷,방사,2024-03-19,현풍동물병원,2024-03-22,과학마을로 33-8,True
754,중구,2024-03-19,대구광역시 중구 달구벌대로443길 8-7,3.14,수컷,방사,2024-03-19,대구시수의사회(삼덕),2024-03-20,대구광역시 중구 달구벌대로443길 8-7,True
755,서구,2024-03-19,평리로50길 36,2.88,암컷,방사,2024-03-19,대구수의사회(아이펫),2024-03-22,평리로50길 36,True
756,중구,2024-03-19,대구광역시 중구 봉산문화2길 40-42,4.14,수컷,방사,2024-03-19,대구시수의사회(삼덕),2024-03-20,대구광역시 중구 봉산문화2길 40-42 (봉산동),True
757,서구,2024-03-19,달서천로41길 13,4.2,수컷,방사,2024-03-19,대구시수의사회(평리),2024-03-20,달서천로41길 13,True
758,군위군,2024-03-19,우보면 선곡리,2.8,암컷,방사,2024-03-19,군위종합동물병원,2024-03-22,우보면 선곡리,True
759,군위군,2024-03-19,군위읍 동부리,2.8,암컷,방사,2024-03-19,군위종합동물병원,2024-03-22,군위읍 동부리,True
760,북구,2024-03-18,북구 대현로21길6,4.8,수컷,방사,2024-03-19,북부동물병원,2024-03-20,북구 대현로21길 6,True
761,북구,2024-03-18,북구 대현로21길6,3.6,암컷,방사,2024-03-19,북부동물병원,2024-03-22,북구 대현로21길 6,True
762,북구,2024-03-18,북구 대현로21길6,4.0,암컷,방사,2024-03-19,북부동물병원,2024-03-22,북구 대현로21길 6,True
763,북구,2024-03-18,북구 대현로21길6,3.2,암컷,방사,2024-03-19,북부동물병원,2024-03-22,북구 대현로21길 6,True
764,달서구,2024-03-18,달서구 달구벌대로1005,2.0,암컷,방사,2024-03-18,온누리동물병원,2024-03-22,달서구 달구벌대로1005,True
765,달서구,2024-03-18,달서구 달구벌대로1270,4.7,수컷,방사,2024-03-18,온누리동물병원,2024-03-19,달서구 달구벌대로1270,True
766,달서구,2024-03-18,달서구 선원로15안길20,4.7,암컷,방사,2024-03-19,온누리동물병원,2024-03-22,대구광역시 달서구 선원로15안길 20 (신당동),True
767,달서구,2024-03-18,대구시 달서구 구마로 221-1,3.1,수컷,방사,2024-03-18,두류동물병원,2024-03-19,달서구 구마로 221-1,True
768,달서구,2024-03-18,대구시 달서구 구마로 221-1,2.3,암컷,방사,2024-03-18,두류동물병원,2024-03-21,달서구 구마로 221-1,True
769,수성구,2024-03-18,고모로188,3.2,암컷,방사,2024-03-18,펫동물병원,2024-03-21,고모로188,True
770,달서구,2024-03-18,대구광역시 달서구 문화회관11안길 12 (장동),3.5,수컷,방사,2024-03-18,본리종합동물병원,2024-03-19,대구광역시 달서구 문화회관11안길 12 (장동),True
771,서구,2024-03-18,평리로50길37-6,5.5,수컷,방사,2024-03-18,대구시수의사회(삼성),2024-03-19,평리로50길37-6,True
772,북구,2024-03-18,대구시 북구 화담길 197,3.1,수컷,방사,2024-03-18,가나동물병원,2024-03-19,대구시 북구 화담길 197,True
773,수성구,2024-03-18,달구벌대로3063,3.5,수컷,방사,2024-03-18,펫동물병원,2024-03-19,달구벌대로3063,True
774,수성구,2024-03-18,달구벌대로3063,3.7,암컷,방사,2024-03-18,펫동물병원,2024-03-21,달구벌대로3063,True
775,달서구,2024-03-18,달서구 진천로 16길 85,3.2,수컷,방사,2024-03-18,애플동물병원,2024-03-19,달서구 진천로 16길 85,True
776,서구,2024-03-18,중리동 1017-2,2.34,암컷,방사,2024-03-18,대구수의사회(아이펫),2024-03-21,중리동 1017-2,True
777,수성구,2024-03-18,대구광역시 수성구 성동로37길 39-3 (성동),2.5,수컷,방사,2024-03-18,펫동물병원,2024-03-19,성동로37길39,True
778,달성군,2024-03-18,다사읍 대실역북로2길 8-9,3.0,암컷,방사,2024-03-18,119동물병원,2024-03-22,다사읍 대실역북로2길 8-9,True
779,수성구,2024-03-18,대구광역시 수성구 성동로37길 39-3 (성동),3.8,수컷,방사,2024-03-18,펫동물병원,2024-03-19,성동로37길39,True
780,수성구,2024-03-18,달구벌대로3063,2.0,암컷,방사,2024-03-18,펫동물병원,2024-03-21,달구벌대로3063,True
781,달성군,2024-03-18,설화안길25-2,4.4,암컷,방사,2024-03-18,동행동물병원,2024-03-21,설화안길25-2,True
782,수성구,2024-03-18,청호로 438,4.6,수컷,방사,2024-03-18,세인트동물병원,2024-03-19,청호로 438,True
783,동구,2024-03-18,대구시 동구 옻골로 59,4.48,수컷,방사,2024-03-18,율하동물병원,2024-03-19,대구시 동구 옻골로 59,True
784,동구,2024-03-18,대구시 동구 옻골로 59,4.86,수컷,방사,2024-03-18,율하동물병원,2024-03-19,대구시 동구 옻골로 59,True
785,달서구,2024-03-18,조암남로14길43-8,3.8,암컷,방사,2024-03-18,동행동물병원,2024-03-21,조암남로14길43-8,True
786,달성군,2024-03-18,다사읍 달구벌대로 895,4.0,암컷,방사,2024-03-18,119동물병원,2024-03-21,다사읍 달구벌대로 895,True
787,수성구,2024-03-18,대구광역시 수성구 월드컵로5안길 1 (삼덕동),4.5,수컷,방사,2024-03-18,펫동물병원,2024-03-19,월드컵로5안길1,True
788,수성구,2024-03-18,월드컵로5안길1,2.4,암컷,방사,2024-03-18,펫동물병원,2024-03-21,월드컵로5안길1,True
789,달성군,2024-03-18,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),2.7,암컷,방사,2024-03-18,화원연합동물병원,2024-03-21,화암로 120 명곡미래빌 4단지 ,True
790,서구,2024-03-18,달서천로83길 42,3.2,수컷,방사,2024-03-18,대구시수의사회(평리),2024-03-20,달서천로83길 42,True
791,중구,2024-03-18,동인 인쇄소 ,3.5,암컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,동인 인쇄소,True
792,중구,2024-03-18,동인 인쇄소 ,2.7,암컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,동인 인쇄소,True
793,중구,2024-03-18,동인 인쇄소 ,2.3,암컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,동인 인쇄소,True
794,중구,2024-03-18,남산로 3안길 9,3.17,암컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,남산로 3안길 9,True
795,군위군,2024-03-18,군위읍 서부리,3.2,암컷,방사,2024-03-18,군위종합동물병원,2024-03-21,군위읍 서부리,True
796,달성군,2024-03-18,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),3.7,암컷,방사,2024-03-18,화원연합동물병원,2024-03-21,화암로 120 명곡미래빌 4단지 ,True
797,달성군,2024-03-18,대구광역시 달성군 옥포읍 옥계2길 9-7 ,5.1,수컷,방사,2024-03-18,화원연합동물병원,2024-03-19,옥포읍 옥계2길 9-7,True
798,달성군,2024-03-18,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),4.1,암컷,방사,2024-03-18,화원연합동물병원,2024-03-21,화암로 120 명곡미래빌 4단지,True
799,중구,2024-03-18,남산로 3안길 9,2.1,수컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,남산로 3안길 9,True
800,달성군,2024-03-18,대구광역시 달성군 화원읍 비슬로 2545 (화원이진캐스빌),5.0,수컷,방사,2024-03-18,화원연합동물병원,2024-03-19,화원 이진캐스빌 ,True
801,중구,2024-03-18,남산로 3안길 9,3.39,암컷,방사,2024-03-18,대구시수의사회(동산),2024-03-21,남산로 3안길 9,True
802,달성군,2024-03-18,대구광역시 달성군 옥포읍 돌미로6길 5 (옥포지구 서한이다음),3.2,수컷,방사,2024-03-18,화원연합동물병원,2024-03-19,돌미로 6길 5 서한이다음,True
803,달성군,2024-03-18,대구광역시 달성군 화원읍 성천로28길 19-8 ,4.4,수컷,방사,2024-03-18,화원연합동물병원,2024-03-19,성천로 28길 19-6,True
804,수성구,2024-03-16,청호로 438,5.8,수컷,방사,2024-03-16,세인트동물병원,2024-03-18,청호로 438,True
805,남구,2024-03-16,대구  남구 용두길 89-10,4.9,수컷,방사,2024-03-16,독사랑동물병원,2024-03-18,대구 남구 용두길 89-10,True
806,달성군,2024-03-16,설화안길25-2,5.0,수컷,방사,2024-03-16,동행동물병원,2024-03-18,설화안길25-2,True
807,북구,2024-03-16,도남길 45-1,4.0,수컷,방사,2024-03-16,강동물병원,2024-03-18,북구 도남길 45-1,True
808,북구,2024-03-16,대구시 북구 검단로 255,4.6,수컷,방사,2024-03-16,가나동물병원,2024-03-18,대구시 북구 검단로 255,True
809,중구,2024-03-16,대구광역시 중구 공평로 26-15 ,3.02,암컷,방사,2024-03-16,대구시수의사회(삼덕),2024-03-19,대구광역시 중구 공평로 26-15 ,True
810,중구,2024-03-16,시청,2.58,암컷,방사,2024-03-16,대구시수의사회(동산),2024-03-19,시청,True
811,중구,2024-03-16,시청,5.87,수컷,방사,2024-03-16,대구시수의사회(동산),2024-03-17,시청,True
812,군위군,2024-03-16,부계면 창평리,2.8,암컷,방사,2024-03-16,군위종합동물병원,2024-03-19,부계면 창평리,True
813,북구,2024-03-15,칠곡중앙대로 51길6,3.0,수컷,방사,2024-03-15,강동물병원,2024-03-16,칠곡중앙대로 51길6,True
814,달성군,2024-03-15,논공로437,4.5,수컷,방사,2024-03-15,동행동물병원,2024-03-16,논공로437,True
815,북구,2024-03-15,대구시 북구 검단로 255,2.8,암컷,방사,2024-03-15,가나동물병원,2024-03-18,대구시 북구 검단로 255,True
816,동구,2024-03-15,대구광역시 동구 팔공산로199길 12,2.3,암컷,방사,2024-03-15,동대구동물의료센터,2024-03-18,대구광역시 동구 팔공산로199길 12,True
817,수성구,2024-03-15,청호로 438,2.6,암컷,방사,2024-03-15,세인트동물병원,2024-03-18,청호로 438,True
818,동구,2024-03-15,대구광역시 동구 팔공로101길 55,2.2,수컷,방사,2024-03-15,동대구동물의료센터,2024-03-16,대구광역시 동구 팔공로101길 55,True
819,동구,2024-03-15,대구광역시 동구 팔공로101길 55 (지묘동 팔공2차보성아파트),4.0,암컷,방사,2024-03-15,동대구동물의료센터,2024-03-18,대구광역시 동구 팔공로101길 55,True
820,달성군,2024-03-15,다사읍 달구벌대로 893,5.0,수컷,방사,2024-03-15,119동물병원,2024-03-16,다사읍 달구벌대로 893,True
821,달성군,2024-03-15,다사읍 서재로12길 41-16,7.0,수컷,방사,2024-03-15,119동물병원,2024-03-16,다사읍 서재로12길 41-16,True
822,달성군,2024-03-15,가창로 33-16,5.3,수컷,방사,2024-03-15,동인동물병원,2024-03-17,가창로 33-16,True
823,달성군,2024-03-15,가창로 33-16,3.2,암컷,방사,2024-03-15,동인동물병원,2024-03-18,가창로 33-16,True
824,수성구,2024-03-15,욱수천로27,2.4,암컷,방사,2024-03-15,펫동물병원,2024-03-18,욱수천로27,True
825,수성구,2024-03-15,노변공원로34,3.4,수컷,방사,2024-03-15,펫동물병원,2024-03-16,노변공원로34,True
826,서구,2024-03-15,평리로 350-1,5.48,수컷,방사,2024-03-15,대구수의사회(아이펫),2024-03-16,평리로 350-1,True
827,서구,2024-03-15,달서천로41길13,4.8,수컷,방사,2024-03-15,대구시수의사회(더펫),2024-03-16,  달서천로41길13,True
828,중구,2024-03-15,동인 인쇄소 ,3.35,수컷,방사,2024-03-15,대구시수의사회(동산),2024-03-16,동인 인쇄소,True
