관리번호,사업지역(시도),사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,포획사진,중성화사진(수술전),중성화사진(수술후),방사사진
4.27341E+14,대구광역시,중구,2024-05-01,문우관길 14 ,흰색검정회색,3.35,코숏,1년추정,암컷,양호,.,방사,2024-05-01,대구시수의사회(삼덕),2024-05-04,문우관길 14,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705458.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705662.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705690.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405041505894.jpg
4.27343E+14,대구광역시,서구,2024-05-01,서구 비산동 27-8일대,고등어태비,5,코숏,4년령,수컷,치료요함,구내염,방사,2024-05-01,대구시수의사회(보경),2024-05-02,서구 비산동 27-8일대,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105871.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105827[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105751.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105234.jpg
4.27348E+14,대구광역시,달성군,2024-05-01,대구광역시 달성군 화원읍 명곡로 11 (명곡미래빌 1단지),흰노,5.1,KSH,1세령,수컷,양호,양호,방사,2024-05-01,화원연합동물병원,2024-05-02,화원 명곡로 11,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305369.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305625.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305657[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105999.jpg
4.27348E+14,대구광역시,달성군,2024-05-01,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),흰갈,3.3,KSH,1세령,암컷,양호,양호,방사,2024-05-01,화원연합동물병원,2024-05-04,명곡미래빌 4단지,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305982.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305479.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305514[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405041405926.jpg
4.27341E+14,대구광역시,중구,2024-04-30,경북여고 인근,흰색 회색,2.8,한국고양이,6-8달추정,수컷,양호,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-02,경북여고 인근,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031505529.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031505296.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031505414.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240503150586[1].jpg
4.27348E+14,대구광역시,달성군,2024-04-30,비슬로967,노랑흰색,4.5,잡종,1살추정,수컷,양호,없음,방사,2024-04-30,동행동물병원,2024-05-01,비슬로967,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804164.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804785.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804829.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905871.jpg
4.27347E+14,대구광역시,달서구,2024-04-30,달서구 상인동 산 25-1 원기사,흰색 노랑색,2.46,코숏,1살,암컷,양호,없음,방사,2024-04-30,애플동물병원,2024-05-03,달서구 상인동산25-1 원기사,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704500.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704427.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704483.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405131405137.jpg
4.27345E+14,대구광역시,북구,2024-04-30,북구 동천로 138-14,회색,4.7,코셧,1년,수컷,양호,2주항생제투여.외부약도포,방사,2024-04-30,강동물병원,2024-05-01,북구 동천로 138-14,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240430210443.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302104381.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404302104256.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405012305912.jpg
4.27343E+14,대구광역시,서구,2024-04-30,내당동12-37,치즈태비백,3.3,코숏,1년,수컷,양호, ,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,"	내당동12-37",-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240430150478.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301504398.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301504845.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240501170502.jpg
4.27342E+14,대구광역시,동구,2024-04-30,대구시 동구 방촌로 11길 26,흰색/검은색,3.46,코리안숏헤어,1살 추정,수컷,양호,상태 양호,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804163.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804250.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804304[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021205190.jpg
